0,"1/4","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","1/ 4","0"
1,"1/6","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","1/ 6","1"
2,"1/8","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","1/ 8","2"
3,"1/12","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","1/12","3"
4,"1/16","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","1/16 1, 1/16 2, 1/16 3","4,5,6"
5,"1/32","SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER, GLISSANDO, BASS+UP 1, BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8, BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3, TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6","0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","1/32 1, 1/32 2, 1/32 3","7,8,9"
33,"PORTAMENTO A","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","PORTA-A 01, PORTA-A 02, PORTA-A 03,PORTA-A 04,PORTA-A 05,PORTA-A 06,PORTA-A 07,PORTA-A 08,PORTA-A 09,PORTA-A 10,PORTA-A 11","61,62,63,64,65,66,67,68,69,70,71"
34,"PORTAMENTO B","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","PORTA-B 01,PORTA-B 02,PORTA-B 03,PORTA-B 04,PORTA-B 05,PORTA-B 06,PORTA-B 07,PORTA-B 08,PORTA-B 09,PORTA-B 10,PORTA-B 11,PORTA-B 12,PORTA-B 13,PORTA-B 14,PORTA-B 15","72,73,74,75,76,77,78,79,80,81,82,83,84,85,86"
6,"GLISSANDO","GLISSANDO","9","1/16 1,1/16 2,1/16 3,1/32 1,1/32 2,1/32 3","4,5,6,7,8,9"
7,"SEQUENCE A","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","SEQ-A 1,SEQ-A 2,SEQ-A 3,SEQ-A 4,SEQ-A 5,SEQ-A 6,SEQ-A 7","10,11,12,13,14,15,16"
